Acquisition ... fait 
Tapez  1 pour afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere: 
Mesures en acceleration 
Courant;Position;Vitesse 
1331;658;209 
1601;660;206 
1601;663;206 
1601;664;209 
1202;667;209 
1592;669;207 
1550;671;207 
1573;674;208 
1573;676;208 
1573;679;208 
1164;681;205 
1540;683;205 
1379;685;208 
1670;687;208 
1823;690;206 
1823;692;207 
1823;695;207 
1276;697;207 
1525;699;207 
1695;702;204 
1560;704;208 
1560;707;208 
1560;709;204 
1315;711;204 
1590;713;206 
1737;715;206 
1437;718;206 
1625;720;202 
1625;723;202 
1145;725;206 
1337;727;206 
1721;730;203 
1522;732;204 
1243;735;204 
1243;737;205 
1243;739;205 
1190;742;201 
1476;744;205 
1649;747;205 
1204;749;202 
1204;751;202 
1204;753;203 
1516;755;203 
1315;758;205 
1452;760;201 
1323;763;201 
1291;765;204 
1291;767;204 
1291;770;202 
1402;772;203 
1164;775;203 
1295;777;204 
1663;779;204 
1663;782;201 
1663;784;204 
1485;787;204 
1162;789;203 
1371;791;203 
1723;794;203 
1304;796;203 
1304;799;203 
1304;800;202 
1338;803;202 
1457;805;206 
1715;807;206 
1829;810;205 
1829;812;205 
1829;815;205 
1196;817;206 
1486;819;206 
1527;822;203 
1472;824;205 
1472;827;205 
1472;829;204 
1250;831;204 
1492;833;204 
1733;835;204 
1332;838;204 
1434;840;201 
1434;843;201 
1434;845;205 
1494;847;205 
1765;850;202 
1498;852;203 
1295;855;203 
1295;857;203 
1295;859;203 
1476;862;200 
1466;864;204 
1607;867;204 
1348;869;201 
1503;871;201 
1503;874;202 
1732;876;204 
1268;879;204 
1246;881;201 
1487;883;201 
1750;886;203 
1750;888;203 
1750;891;203 
1186;892;203 
1135;895;203 
1383;897;204 
1783;899;204 
1783;902;201 
1783;904;205 
1156;907;205 
1475;909;201 
1415;911;201 
1552;914;203 
1485;916;203 
1485;919;203 
1785;921;199 
1432;923;199 
1648;926;203 
1509;928;201 
1470;931;201 
1470;933;201 
1470;935;201 
1340;938;202 
1529;940;199 
1266;943;199 
1420;945;201 
1702;947;201 
1702;950;200 
1334;952;200 
1155;955;200 
1305;957;200 
1572;959;200 
1689;962;198 
1689;964;201 
1689;967;201 
1142;969;199 
1432;971;199 
1639;974;199 
1594;976;200 
1594;979;200 
1594;981;197 
1476;983;197 
1540;986;200 
1297;988;198 
1406;991;198 
1496;993;199 
1496;995;199 
1496;998;198 
1383;1000;196 
1349;1003;196 
1503;1005;199 
1573;1007;199 
1573;1010;197 
1573;1012;197 
1143;1015;197 
1430;1017;198 
1663;1020;195 
1169;1023;195 
1395;1025;198 
1395;1027;198 
1792;1030;195 
1297;1032;197 
1042;1035;197 
1408;1037;196 
1580;1039;196 
1580;1042;194 
1580;1044;197 
1237;1047;197 
1521;1049;194 
1608;1051;194 
1375;1054;196 
1375;1056;196 
1375;1059;196 
1140;1062;193 
1347;1064;197 
1518;1067;197 
1233;1069;194 
1427;1071;194 
1427;1074;195 
1427;1076;196 
923;1079;196 
1352;1081;193 
1644;1083;193 
1702;1086;196 
1702;1088;193 
1702;1091;193 
1432;1094;195 
1483;1096;195 
1251;1099;195 
1236;1101;192 
1576;1103;192 
1576;1106;195 
1186;1108;193 
1314;1111;193 
1571;1113;195 
1702;1115;195 
1425;1119;195 
1425;1121;191 
1425;1123;191 
1583;1126;195 
1352;1128;194 
1362;1131;194 
1444;1133;194 
1444;1135;194 
1444;1138;195 
1219;1140;192 
1216;1143;192 
1676;1146;196 
1559;1148;194 
1585;1151;194 
1585;1153;194 
1585;1155;194 
1150;1158;195 
1426;1160;192 
1133;1163;192 
1456;1165;195 
1456;1167;195 
1456;1170;193 
1063;1172;194 
1127;1175;194 
1372;1178;194 
1424;1180;192 
1092;1183;192 
1092;1185;196 
1569;1187;196 
1526;1190;193 
1341;1192;194 
1225;1195;194 
1215;1197;196 
1215;1200;192 
1215;1203;192 
996;1205;197 
1528;1207;197 
1632;1210;194 
1419;1212;195 
1419;1215;195 
1419;1217;195 
1346;1219;195 
1357;1222;194 
1136;1224;196 
1436;1227;196 
1893;1229;194 
1893;1232;195 
1893;1235;195 
1147;1237;195 
1355;1239;195 
1552;1242;193 
1526;1244;195 
1526;1247;195 
1526;1249;193 
1279;1251;193 
1260;1254;193 
1437;1256;195 
1368;1259;195 
1592;1262;191 
1592;1264;194 
1464;1267;194 
1172;1269;192 
1394;1271;192 
1453;1274;193 
1473;1276;193 
1473;1279;193 
1473;1282;190 
1362;1284;193 
1401;1287;193 
1041;1289;192 
1455;1291;192 
1455;1294;192 
1455;1296;194 
964;1299;194 
1292;1302;190 
1506;1304;193 
1506;1307;193 
1108;1309;192 
1108;1311;192 
1108;1314;192 
1293;1316;193 
1141;1319;193 
1183;1322;189 
1524;1324;193 
1524;1327;193 
1524;1329;191 
1319;1331;191 
1420;1334;192 
1419;1336;193 
1136;1339;193 
1351;1342;189 
1351;1344;192 
1461;1347;192 
1172;1349;191 
1434;1351;191 
1291;1354;191 
1486;1356;191 
1486;1359;191 
1486;1362;189 
1324;1364;192 
1375;1367;192 
1455;1369;190 
1489;1371;190 
1489;1374;190 
1489;1377;192 
1276;1379;192 
1531;1382;187 
1367;1384;192 
1432;1387;192 
1800;1389;190 
1800;1392;191 
1800;1395;191 
1212;1397;190 
1407;1399;190 
1485;1402;189 
1296;1404;192 
1296;1407;192 
1296;1410;190 
1349;1412;191 
1124;1415;191 
1278;1417;192 
1606;1419;192 
1636;1422;190 
1636;1424;192 
1610;1427;192 
