Tapez  1 pour afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere:
Acquisition ... fait
Tapez  1 pour afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere:
Mesures en accel/decel
Acc_I;Acc_Pos;Acc_Vit;Dec_I;Dec_Pos;Dec_Vit
2940;263;1353;4095;5870;690
2937;266;1360;4095;5871;690
2934;268;1360;4095;5873;690
2931;271;1365;4095;5874;690
2928;274;1369;4095;5876;690
2924;276;1369;4095;5877;690
2921;279;1374;4095;5878;680
2919;282;1386;4095;5879;680
2916;285;1386;4095;5881;680
2913;287;1391;4095;5882;647
2910;290;1396;4095;5883;647
2907;293;1396;4095;5885;647
2904;296;1401;4095;5886;647
2901;299;1408;4095;5887;647
2898;302;1408;4095;5888;647
2896;304;1413;4095;5890;647
2893;307;1426;4095;5891;647
2890;310;1426;4095;5892;647
2887;313;1426;4095;5893;647
2885;316;1428;4095;5895;606
2882;319;1438;4095;5896;606
2879;321;1438;4095;5897;606
2877;324;1446;4095;5898;603
2874;327;1449;4095;5899;603
2871;330;1454;4095;5901;603
2868;333;1454;4095;5902;604
2866;336;1459;4095;5903;604
2863;339;1459;4095;5904;604
2860;342;1473;4095;5905;604
2858;345;1473;4095;5906;574
2855;348;1473;4095;5907;574
2852;351;1484;4095;5909;574
2849;354;1484;4095;5910;561
2847;357;1484;4095;5911;561
2844;359;1484;4095;5912;561
2841;362;1498;4095;5913;561
2839;365;1498;4095;5914;561
2836;368;1503;4095;5915;561
2834;371;1503;4095;5916;561
2831;374;1512;4095;5917;561
2829;377;1512;4095;5918;542
2826;381;1509;4095;5919;542
2824;384;1515;4095;5920;542
2822;387;1523;4095;5921;542
2820;390;1529;4095;5922;517
2817;393;1529;4095;5924;517
2815;396;1538;4095;5925;517
2813;399;1535;4095;5926;517
2811;402;1535;4095;5927;517
2809;405;1535;4095;5928;517
2806;408;1550;4095;5929;517
2804;411;1544;4095;5930;511
2802;414;1556;4095;5931;511
2800;417;1556;4095;5932;511
2798;420;1556;4095;5932;511
2796;423;1565;4095;5933;511
2794;427;1562;4095;5934;474
2792;430;1571;4095;5935;474
2790;433;1571;4095;5936;474
2788;436;1577;4095;5937;474
2786;439;1574;4095;5938;474
2783;442;1577;4095;5939;474
2781;445;1577;4095;5940;474
2779;449;1593;4095;5941;474
2777;452;1584;4095;5942;474
2775;455;1600;4095;5943;474
2774;458;1590;4095;5944;474
2772;461;1590;4095;5945;474
2770;465;1606;4095;5945;474
2768;468;1600;4095;5946;436
2766;471;1612;4095;5947;436
2764;474;1606;4095;5948;436
2762;477;1606;4095;5949;436
2760;481;1622;4095;5950;431
2759;484;1612;4095;5951;431
2757;487;1622;4095;5951;431
2755;490;1626;4095;5952;431
2753;494;1629;4095;5953;431
2751;497;1629;4095;5954;431
2749;500;1635;4095;5955;431
2747;503;1635;4095;5956;431
2746;507;1635;4095;5956;431
2744;510;1646;4095;5957;431
2742;513;1646;4095;5958;404
2740;516;1642;4095;5959;404
2738;520;1649;4095;5959;404
2736;523;1652;4095;5960;404
