??afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere: 
Tapez  1 pour afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere: 
Acquisition ... fait 
Tapez  1 pour afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere: 
Mesures en acceleration 
Courant;Position;Vitesse 
2079;312;372 
2079;313;372 
1976;314;372 
2069;315;371 
2025;317;371 
1636;318;371 
1901;319;369 
1689;321;369 
1805;322;369 
1825;323;369 
2014;325;369 
2014;326;369 
1889;327;366 
1843;329;366 
1751;330;366 
2062;331;369 
2165;333;369 
1989;334;369 
1989;335;368 
1989;337;368 
1611;338;368 
2095;339;366 
1837;340;366 
2064;342;366 
2105;343;366 
1820;344;366 
1340;346;366 
1901;347;361 
1581;348;361 
1581;350;361 
1581;351;365 
1581;352;365 
1581;354;365 
1452;355;365 
2117;356;365 
1560;358;365 
2253;359;364 
2035;360;364 
1773;362;364 
1736;362;364 
1608;364;364 
1774;366;364 
1774;366;364 
1774;368;358 
1774;370;358 
1774;370;358 
2072;372;362 
1999;374;362 
1757;374;362 
2100;376;362 
1778;378;362 
2087;378;362 
1984;380;358 
1798;382;358 
1705;382;358 
1882;384;357 
1879;386;357 
2089;387;353 
1633;388;353 
1532;390;353 
1809;391;358 
2002;392;358 
2002;394;358 
2002;395;357 
2002;396;357 
1476;398;357 
2059;399;355 
2004;400;355 
1906;402;355 
1836;403;354 
1713;404;354 
1630;406;354 
1737;407;351 
1690;409;351 
1690;410;351 
1690;411;356 
1690;413;356 
1690;414;356 
1928;415;353 
1974;417;353 
1918;418;353 
2060;419;349 
1492;421;349 
1606;422;349 
1829;423;347 
1731;425;347 
1699;426;347 
1699;428;343 
1699;429;343 
1699;430;343 
1739;432;347 
2142;433;347 
1973;434;347 
2206;436;347 
1731;438;347 
1731;438;347 
1887;440;345 
1931;442;345 
1907;443;343 
1915;444;343 
1618;446;343 
1841;447;339 
1429;449;339 
1802;450;339 
1384;451;343 
1921;453;343 
1921;454;343 
1921;455;343 
1921;457;343 
1921;458;343 
1606;460;339 
1676;462;339 
1651;462;339 
1875;464;339 
1486;466;339 
1806;467;337 
1495;468;337 
1766;470;337 
1811;471;343 
1811;473;343 
1811;474;343 
1811;475;340 
1811;477;340 
1759;478;340 
1842;479;337 
1531;481;337 
1914;482;337 
1897;484;339 
1681;486;339 
