Courant;Position;Vitesse 
1639;1160;240 
1716;1158;243 
1450;1156;243 
1370;1154;238 
1468;1152;238 
1261;1150;239 
1616;1148;239 
1616;1146;239 
1616;1144;239 
2103;1142;240 
1361;1140;240 
1683;1138;241 
1522;1136;241 
1502;1134;236 
1685;1132;236 
1685;1129;238 
1692;1128;238 
1357;1125;237 
1544;1124;237 
1416;1121;237 
1416;1120;237 
1600;1117;240 
1358;1116;240 
1349;1113;236 
1677;1112;236 
1677;1109;236 
1677;1108;236 
1677;1105;237 
1677;1104;237 
1739;1101;238 
1631;1100;238 
1608;1097;241 
1697;1096;241 
1733;1093;236 
1684;1091;238 
1406;1089;238 
1428;1087;237 
1428;1085;237 
1428;1083;238 
1428;1081;238 
1428;1079;239 
1428;1077;239 
1428;1075;235 
1847;1073;235 
1858;1071;237 
1619;1069;237 
1710;1067;236 
1670;1065;236 
1668;1063;238 
1711;1061;238 
1528;1059;239 
1610;1057;239 
1610;1055;237 
1610;1053;237 
2052;1051;237 
1115;1049;237 
1650;1047;238 
1849;1045;238 
1659;1043;240 
1659;1041;240 
1659;1039;241 
1556;1037;241 
1651;1035;236 
1835;1033;236 
1773;1031;239 
2285;1029;239 
1610;1027;239 
1638;1025;239 
1374;1023;238 
1725;1021;238 
1725;1019;239 
1725;1017;239 
1725;1015;236 
1725;1013;236 
1424;1011;237 
1459;1009;237 
1648;1007;237 
1679;1005;237 
1364;1002;237 
1562;1001;237 
1322;999;240 
1301;997;240 
1421;994;235 
1421;993;235 
1421;990;237 
1421;989;237 
1421;986;237 
1421;985;237 
1159;982;238 
1727;981;238 
1701;978;240 
1662;977;240 
1398;974;235 
1180;973;235 
1081;970;239 
1448;969;239 
1245;966;238 
1245;965;238 
1795;962;239 
1539;961;239 
1485;958;241 
1612;957;241 
1673;954;238 
1673;953;238 
1673;950;240 
1673;949;240 
1296;946;239 
1676;945;239 
1394;942;240 
1737;941;240 
1511;938;242 
1343;937;242 
1478;934;238 
1254;933;238 
1229;930;239 
1229;929;239 
1229;926;239 
1229;925;239 
1229;922;239 
1694;921;239 
1701;918;242 
1391;916;242 
1649;914;236 
1419;912;236 
1189;910;238 
1425;908;238 
1252;906;237 
1453;904;237 
1453;902;238 
1453;900;238 
1453;898;240 
1453;896;240 
1832;894;236 
1614;892;236 
1273;890;239 
1697;888;239 
1308;886;238 
1372;884;238 
1249;882;238 
1499;880;238 
1533;878;240 
1535;876;240 
2092;874;236 
1560;872;236 
1274;870;236 
1563;868;236 
1474;865;234 
1612;864;234 
1612;861;236 
1612;860;236 
1612;857;237 
1615;856;237 
1560;853;233 
1805;852;233 
1341;849;234 
1639;847;233 
1464;845;233 
1526;843;234 
1640;841;234 
1491;839;236 
1491;837;236 
1491;835;231 
1491;833;231 
1491;831;232 
1596;829;232 
1746;827;231 
1745;825;231 
1357;822;231 
1589;821;231 
1477;818;234 
1628;817;234 
1438;814;229 
1383;812;229 
1383;810;231 
1383;808;231 
1383;806;230 
2219;804;230 
1216;802;230 
1645;800;230 
1757;797;233 
1464;796;233 
1464;793;228 
1842;791;229 
1409;789;229 
1722;787;229 
1679;785;229 
1626;783;230 
1638;781;230 
1477;779;232 
1396;777;232 
1358;775;228 
1461;773;228 
1461;770;229 
1461;769;229 
1461;766;229 
1461;764;229 
1538;762;228 
1480;760;228 
1570;758;231 
1422;756;231 
1382;753;226 
1706;752;226 
955;749;228 
1569;747;227 
1411;745;227 
1411;743;227 
1411;741;227 
1411;739;230 
1411;737;230 
1622;735;225 
1283;733;225 
1199;730;227 
1314;729;227 
1232;726;226 
1266;724;226 
1267;722;227 
1450;720;227 
1430;718;229 
1430;716;229 
1430;713;225 
2241;712;225 
1306;709;228 
1339;707;226 
1817;705;226 
1660;703;229 
1660;701;229 
1660;699;230 
1445;697;230 
1400;695;226 
1287;693;226 
1208;690;228 
1435;689;228 
909;686;229 
1379;684;229 
1265;682;229 
1397;680;229 
1397;678;231 
1397;676;231 
1397;673;228 
1397;672;228 
1397;669;229 
1669;667;231 
1571;665;231 
1793;663;230 
1878;661;230 
1525;659;233 
1406;657;233 
1605;655;229 
1618;653;229 
1432;651;230 
1432;649;230 
1432;646;231 
1432;645;231 
1874;642;230 
1768;641;230 
1615;638;234 
1440;636;234 
1510;634;229 
1290;632;229 
1170;630;231 
1572;628;231 
1378;626;231 
1618;624;231 
1618;621;231 
1618;620;231 
1835;617;234 
1307;616;234 
1328;613;230 
1979;611;231 
1979;609;231 
1979;607;231 
1979;605;231 
1612;603;231 
1704;601;231 
1663;599;233 
1570;597;233 
1627;595;229 
1279;593;229 
1267;590;229 
1336;589;229 
1311;586;230 
1311;585;230 
1311;582;229 
1311;580;229 
1311;578;231 
1311;576;231 
1342;574;227 
1683;572;227 
1517;569;229 
1879;568;229 
1436;565;228 
1366;563;228 
1787;561;228 
1538;559;229 
1540;557;229 
1540;555;226 
1540;553;226 
1540;551;226 
1499;549;226 
1427;546;226 
1718;545;226 
1542;542;226 
1591;540;226 
1591;538;229 
1404;536;229 
1341;533;224 
1801;532;224 
1341;529;225 
1341;527;225 
1909;525;225 
1347;523;226 
1484;521;226 
1446;519;230 
1446;517;230 
1446;514;225 
1446;513;225 
1446;510;226 
1363;509;226 
1444;506;226 
1504;504;226 
1388;502;225 
1482;500;225 
1466;497;228 
1387;496;228 
1414;493;223 
1845;491;225 
1845;489;225 
1845;487;223 
1845;485;223 
1845;482;225 
1845;481;225 
1582;478;226 
1445;476;226 
1277;474;222 
1605;472;222 
1340;469;222 
1580;468;222 
1402;465;224 
1471;463;223 
1709;461;223 
1709;459;225 
1709;457;225 
1944;455;223 
1125;453;223 
1254;450;223 
1467;449;223 
1304;446;222 
1304;444;222 
1304;442;223 
1467;440;223 
1614;437;225 
1364;435;221 
1632;433;221 
2281;431;222 
1317;429;222 
1350;427;222 
1425;425;222 
1190;422;222 
1190;421;222 
1190;418;226 
1190;416;226 
1190;414;222 
1669;412;222 
1343;409;224 
1773;407;224 
1672;405;224 
1690;403;225 
1644;401;225 
1543;399;228 
1534;397;228 
1598;395;223 
1598;393;223 
1598;390;224 
1598;389;224 
1598;386;225 
1598;384;225 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
