Courant;Position;Vitesse 
3125;1052;65535 
2592;1052;65535 
2492;1052;65535 
2848;1052;65535 
2191;1052;65535 
2383;1052;65535 
2203;1052;65535 
2765;1052;65535 
2765;1051;65535 
2765;1051;65535 
2765;1051;65535 
2667;1051;65535 
2191;1051;65535 
2668;1050;21016 
3127;1050;21016 
2737;1050;21016 
2737;1050;21016 
1969;1050;21016 
2365;1049;21016 
2596;1049;21016 
2634;1049;21016 
2410;1048;1065 
2122;1048;1065 
2472;1048;1065 
2081;1047;1065 
2547;1047;1065 
2362;1047;1065 
2362;1046;1065 
2362;1046;1065 
2362;1046;1065 
2362;1046;1065 
2189;1046;1065 
2531;1045;1065 
2150;1045;1065 
2362;1044;1528 
2164;1044;1528 
1857;1043;1528 
2131;1043;1528 
2056;1043;1528 
2374;1042;1528 
2374;1042;1528 
2374;1042;1528 
2374;1041;1528 
2374;1041;1528 
2313;1040;1159 
2332;1039;1159 
2277;1039;1159 
2452;1038;1159 
2375;1038;1159 
2477;1038;1159 
2154;1037;1159 
2281;1037;1159 
2128;1036;944 
2128;1035;944 
2128;1035;944 
2229;1034;944 
2216;1034;944 
2036;1033;944 
1943;1033;944 
2297;1032;833 
2297;1031;833 
2297;1030;833 
1973;1030;833 
1909;1030;833 
2141;1029;833 
2090;1028;798 
2209;1028;798 
2180;1027;798 
2257;1026;798 
1944;1026;798 
1710;1025;798 
1710;1025;798 
1710;1024;754 
1710;1023;754 
1710;1022;754 
1710;1022;754 
2143;1021;754 
1990;1020;699 
1980;1019;699 
1809;1019;699 
1776;1018;699 
2074;1018;699 
1993;1017;699 
2145;1016;652 
2005;1015;652 
2005;1014;652 
2005;1014;652 
2005;1013;652 
1875;1012;610 
1905;1011;610 
1544;1010;610 
1679;1010;610 
2013;1009;610 
2027;1008;613 
1677;1007;613 
2392;1006;613 
1773;1006;613 
1761;1005;613 
1761;1004;608 
1776;1003;608 
1986;1002;608 
1570;1002;608 
1527;1001;608 
86;1000;587 
86;999;587 
86;998;587 
86;998;587 
2069;997;587 
1538;996;559 
1660;995;559 
1900;994;559 
1490;993;559 
1936;992;534 
1878;991;534 
1710;990;534 
1690;990;534 
1690;989;534 
1690;987;530 
1690;986;530 
1690;986;530 
1690;985;530 
1643;984;532 
1904;983;532 
2334;982;532 
1832;981;532 
1873;980;521 
1659;979;521 
1768;978;521 
1869;978;521 
1835;977;521 
1835;975;502 
1835;974;502 
1935;974;502 
1841;973;502 
2020;971;484 
1721;970;484 
1813;970;484 
1847;969;484 
1847;967;485 
2027;966;485 
2062;966;485 
1709;965;485 
1916;963;487 
1916;962;487 
2026;962;487 
1933;961;487 
1913;959;475 
1609;958;475 
1609;958;475 
1609;957;475 
1609;955;463 
1609;954;463 
1867;953;463 
